lang,route,file,title
nl,,index.html,Home
nl,work,work/index.html,Werk
nl,creative-work,creative-work/index.html,Creatief Werk
nl,education,education/index.html,Ervaring & Opleiding
nl,leadership,leadership/index.html,Leiderschap
nl,research,research/index.html,Onderzoek
nl,documents,documents/index.html,Documenten
nl,contact,contact/index.html,Contact
nl,work/creative-ai-partner,work/creative-ai-partner/index.html,Creative AI Partner
nl,work/matchupskills,work/matchupskills/index.html,MatchupSkills
nl,work/lumbung-jakut,work/lumbung-jakut/index.html,Lumbung Jakut
nl,leadership/iccn,leadership/iccn/index.html,Indonesian Creative Cities Network
nl,leadership/indonesia-mengglobal,leadership/indonesia-mengglobal/index.html,Indonesia Mengglobal
nl,leadership/unesco-undp,leadership/unesco-undp/index.html,UNESCO & UNDP Indonesia
nl,leadership/timur-growth,leadership/timur-growth/index.html,Timur Growth 2 Startup Competition
nl,leadership/titik-terang,leadership/titik-terang/index.html,Titik Terang Community
nl,leadership/iluni-ui,leadership/iluni-ui/index.html,ILUNI UI
nl,leadership/youthranger,leadership/youthranger/index.html,YouthRanger.id
nl,leadership/biru-muda,leadership/biru-muda/index.html,Biru Muda Project Community
nl,leadership/pt-pindad,leadership/pt-pindad/index.html,Studi Ekskursi PT Pindad
nl,leadership/study-hub,leadership/study-hub/index.html,Study Hub — PUSAT AHLI × PT Sentra Solusi
nl,leadership/field-notes,leadership/field-notes/index.html,MOMENTEN UIT HET VELD
nl,research/jurnal,research/jurnal/index.html,Strategic Intelligence Foresight on Ransomware Threats in State-Owned Bankings in Indonesia
nl,research/tokyo,research/tokyo/index.html,Digital Policy Bundles and Food-System Resilience in Rural Solo/Surakarta
nl,research/proposal-p3,research/proposal-p3/index.html,Smart Monitoring Food System Resilience — AI-Based Urban Farming Community in North Jakarta
nl,research/reef-welfare,research/reef-welfare/index.html,Reef to Welfare: Integrating Marine Conservation and Coastal Food-Water Security for Sustainable Livelihoods in Indonesia's Coral Triangle (Wakatobi)
nl,documents/cv,documents/cv/index.html,Curriculum Vitae
nl,documents/bachelor,documents/bachelor/index.html,Bachelordiploma & cijferlijst
nl,documents/masters,documents/masters/index.html,Masterdiploma's & cijferlijsten
nl,documents/thesis,documents/thesis/index.html,Masterscriptie — Intelligence Analysis of Cyberattacks on the Security of Banking Institutions in Indonesia
nl,documents/certificates,documents/certificates/index.html,Certificaten & prijzen
nl,creative-work/001,creative-work/001/index.html,Beeld 001
nl,creative-work/002,creative-work/002/index.html,Beeld 002
nl,creative-work/003,creative-work/003/index.html,Beeld 003
nl,creative-work/004,creative-work/004/index.html,Video 004
nl,creative-work/005,creative-work/005/index.html,Beeld 005
nl,creative-work/006,creative-work/006/index.html,Beeld 006
nl,creative-work/007,creative-work/007/index.html,Beeld 007
nl,creative-work/008,creative-work/008/index.html,Video 008
nl,creative-work/009,creative-work/009/index.html,Video 009
nl,creative-work/010,creative-work/010/index.html,Video 010
nl,creative-work/011,creative-work/011/index.html,Beeld 011
nl,creative-work/012,creative-work/012/index.html,Beeld 012
nl,creative-work/013,creative-work/013/index.html,Beeld 013
nl,creative-work/014,creative-work/014/index.html,Beeld 014
nl,creative-work/015,creative-work/015/index.html,Beeld 015
nl,creative-work/016,creative-work/016/index.html,Beeld 016
nl,creative-work/017,creative-work/017/index.html,Beeld 017
nl,creative-work/018,creative-work/018/index.html,Beeld 018
nl,creative-work/019,creative-work/019/index.html,Beeld 019
nl,creative-work/020,creative-work/020/index.html,Beeld 020
nl,creative-work/021,creative-work/021/index.html,Beeld 021
nl,creative-work/022,creative-work/022/index.html,Video 022
nl,creative-work/023,creative-work/023/index.html,Video 023
nl,creative-work/024,creative-work/024/index.html,Video 024
nl,creative-work/025,creative-work/025/index.html,Video 025
nl,creative-work/026,creative-work/026/index.html,Video 026
nl,creative-work/027,creative-work/027/index.html,Video 027
nl,creative-work/028,creative-work/028/index.html,Video 028
nl,creative-work/029,creative-work/029/index.html,Beeld 029
nl,creative-work/030,creative-work/030/index.html,Beeld 030
nl,creative-work/031,creative-work/031/index.html,Beeld 031
nl,creative-work/032,creative-work/032/index.html,Beeld 032
nl,creative-work/033,creative-work/033/index.html,Beeld 033
nl,creative-work/034,creative-work/034/index.html,Beeld 034
nl,creative-work/035,creative-work/035/index.html,Beeld 035
nl,creative-work/036,creative-work/036/index.html,Beeld 036
nl,creative-work/037,creative-work/037/index.html,Beeld 037
nl,creative-work/038,creative-work/038/index.html,Beeld 038
nl,creative-work/039,creative-work/039/index.html,Beeld 039
nl,creative-work/040,creative-work/040/index.html,Beeld 040
nl,creative-work/041,creative-work/041/index.html,Beeld 041
nl,creative-work/042,creative-work/042/index.html,Beeld 042
nl,creative-work/043,creative-work/043/index.html,Beeld 043
nl,creative-work/044,creative-work/044/index.html,Beeld 044
nl,creative-work/045,creative-work/045/index.html,Beeld 045
nl,creative-work/046,creative-work/046/index.html,Beeld 046
nl,creative-work/047,creative-work/047/index.html,Beeld 047
nl,creative-work/048,creative-work/048/index.html,Beeld 048
nl,creative-work/049,creative-work/049/index.html,Beeld 049
nl,creative-work/050,creative-work/050/index.html,Beeld 050
nl,creative-work/051,creative-work/051/index.html,Beeld 051
nl,creative-work/052,creative-work/052/index.html,Beeld 052
nl,creative-work/053,creative-work/053/index.html,Beeld 053
nl,creative-work/054,creative-work/054/index.html,Beeld 054
nl,creative-work/055,creative-work/055/index.html,Beeld 055
nl,creative-work/056,creative-work/056/index.html,Beeld 056
nl,creative-work/057,creative-work/057/index.html,Beeld 057
nl,creative-work/058,creative-work/058/index.html,Beeld 058
nl,creative-work/059,creative-work/059/index.html,Beeld 059
nl,creative-work/060,creative-work/060/index.html,Beeld 060
nl,creative-work/061,creative-work/061/index.html,Beeld 061
nl,creative-work/062,creative-work/062/index.html,Beeld 062
nl,creative-work/063,creative-work/063/index.html,Beeld 063
nl,creative-work/064,creative-work/064/index.html,Beeld 064
nl,creative-work/065,creative-work/065/index.html,Beeld 065
nl,creative-work/066,creative-work/066/index.html,Beeld 066
nl,creative-work/067,creative-work/067/index.html,Beeld 067
nl,creative-work/068,creative-work/068/index.html,Beeld 068
nl,creative-work/069,creative-work/069/index.html,Beeld 069
nl,creative-work/070,creative-work/070/index.html,Beeld 070
nl,creative-work/071,creative-work/071/index.html,Beeld 071
nl,creative-work/072,creative-work/072/index.html,Beeld 072
nl,creative-work/073,creative-work/073/index.html,Beeld 073
nl,creative-work/074,creative-work/074/index.html,Beeld 074
nl,creative-work/075,creative-work/075/index.html,Beeld 075
nl,creative-work/076,creative-work/076/index.html,Beeld 076
nl,creative-work/077,creative-work/077/index.html,Video 077
nl,creative-work/078,creative-work/078/index.html,Video 078
nl,creative-work/079,creative-work/079/index.html,Beeld 079
nl,creative-work/080,creative-work/080/index.html,Beeld 080
nl,creative-work/081,creative-work/081/index.html,Beeld 081
nl,creative-work/082,creative-work/082/index.html,Beeld 082
nl,creative-work/083,creative-work/083/index.html,Beeld 083
nl,creative-work/084,creative-work/084/index.html,Beeld 084
nl,creative-work/085,creative-work/085/index.html,Beeld 085
nl,creative-work/086,creative-work/086/index.html,Beeld 086
nl,creative-work/087,creative-work/087/index.html,Beeld 087
nl,creative-work/088,creative-work/088/index.html,Beeld 088
nl,creative-work/089,creative-work/089/index.html,Beeld 089
nl,creative-work/090,creative-work/090/index.html,Beeld 090
nl,creative-work/091,creative-work/091/index.html,Beeld 091
nl,creative-work/092,creative-work/092/index.html,Beeld 092
nl,creative-work/093,creative-work/093/index.html,Video 093
nl,creative-work/094,creative-work/094/index.html,Video 094
nl,creative-work/095,creative-work/095/index.html,Video 095
nl,creative-work/096,creative-work/096/index.html,Video 096
nl,creative-work/097,creative-work/097/index.html,Video 097
nl,creative-work/098,creative-work/098/index.html,Video 098
nl,creative-work/099,creative-work/099/index.html,Video 099
nl,creative-work/100,creative-work/100/index.html,Video 100
nl,creative-work/101,creative-work/101/index.html,Video 101
nl,creative-work/102,creative-work/102/index.html,Video 102
nl,creative-work/103,creative-work/103/index.html,Video 103
nl,creative-work/104,creative-work/104/index.html,Video 104
nl,creative-work/105,creative-work/105/index.html,Video 105
nl,creative-work/106,creative-work/106/index.html,Video 106
nl,creative-work/107,creative-work/107/index.html,Video 107
nl,creative-work/108,creative-work/108/index.html,Video 108
nl,creative-work/109,creative-work/109/index.html,Video 109
nl,creative-work/110,creative-work/110/index.html,Video 110
nl,creative-work/111,creative-work/111/index.html,Video 111
nl,creative-work/112,creative-work/112/index.html,Video 112
nl,creative-work/113,creative-work/113/index.html,Video 113
nl,creative-work/114,creative-work/114/index.html,Video 114
nl,creative-work/115,creative-work/115/index.html,Video 115
nl,creative-work/116,creative-work/116/index.html,Video 116
nl,creative-work/117,creative-work/117/index.html,Video 117
nl,creative-work/118,creative-work/118/index.html,Video 118
nl,creative-work/119,creative-work/119/index.html,Video 119
nl,creative-work/120,creative-work/120/index.html,Video 120
nl,creative-work/121,creative-work/121/index.html,Video 121
nl,creative-work/122,creative-work/122/index.html,Video 122
nl,creative-work/123,creative-work/123/index.html,Video 123
nl,creative-work/124,creative-work/124/index.html,Video 124
nl,creative-work/125,creative-work/125/index.html,Video 125
nl,creative-work/126,creative-work/126/index.html,Video 126
nl,creative-work/127,creative-work/127/index.html,Video 127
nl,creative-work/128,creative-work/128/index.html,Video 128
nl,creative-work/129,creative-work/129/index.html,Video 129
en,,en/index.html,Home
en,work,en/work/index.html,Work
en,creative-work,en/creative-work/index.html,Creative Work
en,education,en/education/index.html,Experience & Education
en,leadership,en/leadership/index.html,Leadership
en,research,en/research/index.html,Research
en,documents,en/documents/index.html,Documents
en,contact,en/contact/index.html,Contact
en,work/creative-ai-partner,en/work/creative-ai-partner/index.html,Creative AI Partner
en,work/matchupskills,en/work/matchupskills/index.html,MatchupSkills
en,work/lumbung-jakut,en/work/lumbung-jakut/index.html,Lumbung Jakut
en,leadership/iccn,en/leadership/iccn/index.html,Indonesian Creative Cities Network
en,leadership/indonesia-mengglobal,en/leadership/indonesia-mengglobal/index.html,Indonesia Mengglobal
en,leadership/unesco-undp,en/leadership/unesco-undp/index.html,UNESCO & UNDP Indonesia
en,leadership/timur-growth,en/leadership/timur-growth/index.html,Timur Growth 2 Startup Competition
en,leadership/titik-terang,en/leadership/titik-terang/index.html,Titik Terang Community
en,leadership/iluni-ui,en/leadership/iluni-ui/index.html,ILUNI UI
en,leadership/youthranger,en/leadership/youthranger/index.html,YouthRanger.id
en,leadership/biru-muda,en/leadership/biru-muda/index.html,Biru Muda Project Community
en,leadership/pt-pindad,en/leadership/pt-pindad/index.html,Studi Ekskursi PT Pindad
en,leadership/study-hub,en/leadership/study-hub/index.html,Study Hub — PUSAT AHLI × PT Sentra Solusi
en,leadership/field-notes,en/leadership/field-notes/index.html,MOMENTS FROM THE FIELD
en,research/jurnal,en/research/jurnal/index.html,Strategic Intelligence Foresight on Ransomware Threats in State-Owned Bankings in Indonesia
en,research/tokyo,en/research/tokyo/index.html,Digital Policy Bundles and Food-System Resilience in Rural Solo/Surakarta
en,research/proposal-p3,en/research/proposal-p3/index.html,Smart Monitoring Food System Resilience — AI-Based Urban Farming Community in North Jakarta
en,research/reef-welfare,en/research/reef-welfare/index.html,Reef to Welfare: Integrating Marine Conservation and Coastal Food-Water Security for Sustainable Livelihoods in Indonesia's Coral Triangle (Wakatobi)
en,documents/cv,en/documents/cv/index.html,Curriculum Vitae
en,documents/bachelor,en/documents/bachelor/index.html,Bachelor's Certificate & Transcript
en,documents/masters,en/documents/masters/index.html,Master's Certificates & Transcripts
en,documents/thesis,en/documents/thesis/index.html,Master Thesis — Intelligence Analysis of Cyberattacks on the Security of Banking Institutions in Indonesia
en,documents/certificates,en/documents/certificates/index.html,Certificates & Awards
en,creative-work/001,en/creative-work/001/index.html,Visual 001
en,creative-work/002,en/creative-work/002/index.html,Visual 002
en,creative-work/003,en/creative-work/003/index.html,Visual 003
en,creative-work/004,en/creative-work/004/index.html,Motion 004
en,creative-work/005,en/creative-work/005/index.html,Visual 005
en,creative-work/006,en/creative-work/006/index.html,Visual 006
en,creative-work/007,en/creative-work/007/index.html,Visual 007
en,creative-work/008,en/creative-work/008/index.html,Motion 008
en,creative-work/009,en/creative-work/009/index.html,Motion 009
en,creative-work/010,en/creative-work/010/index.html,Motion 010
en,creative-work/011,en/creative-work/011/index.html,Visual 011
en,creative-work/012,en/creative-work/012/index.html,Visual 012
en,creative-work/013,en/creative-work/013/index.html,Visual 013
en,creative-work/014,en/creative-work/014/index.html,Visual 014
en,creative-work/015,en/creative-work/015/index.html,Visual 015
en,creative-work/016,en/creative-work/016/index.html,Visual 016
en,creative-work/017,en/creative-work/017/index.html,Visual 017
en,creative-work/018,en/creative-work/018/index.html,Visual 018
en,creative-work/019,en/creative-work/019/index.html,Visual 019
en,creative-work/020,en/creative-work/020/index.html,Visual 020
en,creative-work/021,en/creative-work/021/index.html,Visual 021
en,creative-work/022,en/creative-work/022/index.html,Motion 022
en,creative-work/023,en/creative-work/023/index.html,Motion 023
en,creative-work/024,en/creative-work/024/index.html,Motion 024
en,creative-work/025,en/creative-work/025/index.html,Motion 025
en,creative-work/026,en/creative-work/026/index.html,Motion 026
en,creative-work/027,en/creative-work/027/index.html,Motion 027
en,creative-work/028,en/creative-work/028/index.html,Motion 028
en,creative-work/029,en/creative-work/029/index.html,Visual 029
en,creative-work/030,en/creative-work/030/index.html,Visual 030
en,creative-work/031,en/creative-work/031/index.html,Visual 031
en,creative-work/032,en/creative-work/032/index.html,Visual 032
en,creative-work/033,en/creative-work/033/index.html,Visual 033
en,creative-work/034,en/creative-work/034/index.html,Visual 034
en,creative-work/035,en/creative-work/035/index.html,Visual 035
en,creative-work/036,en/creative-work/036/index.html,Visual 036
en,creative-work/037,en/creative-work/037/index.html,Visual 037
en,creative-work/038,en/creative-work/038/index.html,Visual 038
en,creative-work/039,en/creative-work/039/index.html,Visual 039
en,creative-work/040,en/creative-work/040/index.html,Visual 040
en,creative-work/041,en/creative-work/041/index.html,Visual 041
en,creative-work/042,en/creative-work/042/index.html,Visual 042
en,creative-work/043,en/creative-work/043/index.html,Visual 043
en,creative-work/044,en/creative-work/044/index.html,Visual 044
en,creative-work/045,en/creative-work/045/index.html,Visual 045
en,creative-work/046,en/creative-work/046/index.html,Visual 046
en,creative-work/047,en/creative-work/047/index.html,Visual 047
en,creative-work/048,en/creative-work/048/index.html,Visual 048
en,creative-work/049,en/creative-work/049/index.html,Visual 049
en,creative-work/050,en/creative-work/050/index.html,Visual 050
en,creative-work/051,en/creative-work/051/index.html,Visual 051
en,creative-work/052,en/creative-work/052/index.html,Visual 052
en,creative-work/053,en/creative-work/053/index.html,Visual 053
en,creative-work/054,en/creative-work/054/index.html,Visual 054
en,creative-work/055,en/creative-work/055/index.html,Visual 055
en,creative-work/056,en/creative-work/056/index.html,Visual 056
en,creative-work/057,en/creative-work/057/index.html,Visual 057
en,creative-work/058,en/creative-work/058/index.html,Visual 058
en,creative-work/059,en/creative-work/059/index.html,Visual 059
en,creative-work/060,en/creative-work/060/index.html,Visual 060
en,creative-work/061,en/creative-work/061/index.html,Visual 061
en,creative-work/062,en/creative-work/062/index.html,Visual 062
en,creative-work/063,en/creative-work/063/index.html,Visual 063
en,creative-work/064,en/creative-work/064/index.html,Visual 064
en,creative-work/065,en/creative-work/065/index.html,Visual 065
en,creative-work/066,en/creative-work/066/index.html,Visual 066
en,creative-work/067,en/creative-work/067/index.html,Visual 067
en,creative-work/068,en/creative-work/068/index.html,Visual 068
en,creative-work/069,en/creative-work/069/index.html,Visual 069
en,creative-work/070,en/creative-work/070/index.html,Visual 070
en,creative-work/071,en/creative-work/071/index.html,Visual 071
en,creative-work/072,en/creative-work/072/index.html,Visual 072
en,creative-work/073,en/creative-work/073/index.html,Visual 073
en,creative-work/074,en/creative-work/074/index.html,Visual 074
en,creative-work/075,en/creative-work/075/index.html,Visual 075
en,creative-work/076,en/creative-work/076/index.html,Visual 076
en,creative-work/077,en/creative-work/077/index.html,Motion 077
en,creative-work/078,en/creative-work/078/index.html,Motion 078
en,creative-work/079,en/creative-work/079/index.html,Visual 079
en,creative-work/080,en/creative-work/080/index.html,Visual 080
en,creative-work/081,en/creative-work/081/index.html,Visual 081
en,creative-work/082,en/creative-work/082/index.html,Visual 082
en,creative-work/083,en/creative-work/083/index.html,Visual 083
en,creative-work/084,en/creative-work/084/index.html,Visual 084
en,creative-work/085,en/creative-work/085/index.html,Visual 085
en,creative-work/086,en/creative-work/086/index.html,Visual 086
en,creative-work/087,en/creative-work/087/index.html,Visual 087
en,creative-work/088,en/creative-work/088/index.html,Visual 088
